@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute outputs-1 {0,1,2}

@data
1,'2016/04/28 17:47:11:856',1,0,1
2,'2016/04/28 17:47:11:873',1,0,1
3,'2016/04/28 17:47:11:890',1,0,1
4,'2016/04/28 17:47:11:908',1,0.497367,1
5,'2016/04/28 17:47:11:924',1,0.176032,1
6,'2016/04/28 17:47:11:941',1,0.653218,1
7,'2016/04/28 17:47:11:959',1,0,1
8,'2016/04/28 17:47:11:986',1,0.119039,1
9,'2016/04/28 17:47:12:007',1,0.180672,1
10,'2016/04/28 17:47:12:024',1,0.216669,1
11,'2016/04/28 17:47:12:040',1,0,1
12,'2016/04/28 17:47:12:058',1,0.90755,1
13,'2016/04/28 17:47:12:074',1,0,1
14,'2016/04/28 17:47:12:089',1,0.520141,1
15,'2016/04/28 17:47:12:107',1,0,1
16,'2016/04/28 17:47:12:125',1,1.113496,1
17,'2016/04/28 17:47:12:141',1,0,1
18,'2016/04/28 17:47:12:159',1,1.092152,1
19,'2016/04/28 17:47:12:176',1,0,1
20,'2016/04/28 17:47:12:193',1,0,1
21,'2016/04/28 17:47:12:211',1,0.761205,1
22,'2016/04/28 17:47:12:226',1,0.665122,1
23,'2016/04/28 17:47:12:244',1,0,1
24,'2016/04/28 17:47:12:261',1,0.096283,1
25,'2016/04/28 17:47:12:278',1,0.113008,1
26,'2016/04/28 17:47:12:295',1,0,1
27,'2016/04/28 17:47:12:313',1,0.755826,1
28,'2016/04/28 17:47:12:330',1,1.311135,1
29,'2016/04/28 17:47:12:347',1,0,1
30,'2016/04/28 17:47:12:363',1,1.473905,1
31,'2016/04/28 17:47:12:378',1,0,1
32,'2016/04/28 17:47:12:395',1,0,1
33,'2016/04/28 17:47:12:412',1,0,1
34,'2016/04/28 17:47:12:430',1,2.054356,1
35,'2016/04/28 17:47:12:448',1,2.841684,1
36,'2016/04/28 17:47:12:468',1,3.948567,1
37,'2016/04/28 17:47:12:485',1,3.931618,1
38,'2016/04/28 17:47:12:500',1,0,1
39,'2016/04/28 17:47:12:520',1,4.729154,1
40,'2016/04/28 17:47:12:537',1,0,1
41,'2016/04/28 17:47:12:552',1,4.957648,1
42,'2016/04/28 17:47:12:569',1,0,1
43,'2016/04/28 17:47:12:586',1,0,1
44,'2016/04/28 17:47:12:602',1,0,1
45,'2016/04/28 17:47:12:618',1,6.44456,1
46,'2016/04/28 17:47:12:636',1,4.678162,1
47,'2016/04/28 17:47:12:652',1,0,1
48,'2016/04/28 17:47:12:670',1,4.252966,1
49,'2016/04/28 17:47:12:686',1,0,1
50,'2016/04/28 17:47:12:702',1,3.231741,1
51,'2016/04/28 17:47:12:721',1,2.981229,1
52,'2016/04/28 17:47:12:739',1,0,1
53,'2016/04/28 17:47:12:756',1,1.667032,1
54,'2016/04/28 17:47:12:771',1,0,1
55,'2016/04/28 17:47:12:788',1,0,1
56,'2016/04/28 17:47:12:803',1,1.076867,1
57,'2016/04/28 17:47:12:821',1,0,1
58,'2016/04/28 17:47:12:838',1,0.544995,1
59,'2016/04/28 17:47:12:854',1,0,1
60,'2016/04/28 17:47:12:870',1,2.20456,1
61,'2016/04/28 17:47:12:888',1,0,1
62,'2016/04/28 17:47:12:905',1,0,1
63,'2016/04/28 17:47:12:922',1,6.081188,1
64,'2016/04/28 17:47:12:939',1,0,1
65,'2016/04/28 17:47:12:957',1,0,1
66,'2016/04/28 17:47:12:973',1,3.526518,1
67,'2016/04/28 17:47:13:025',1,4.246485,1
68,'2016/04/28 17:47:13:042',1,5.192053,1
69,'2016/04/28 17:47:13:060',1,0,1
70,'2016/04/28 17:47:13:077',1,8.603053,1
71,'2016/04/28 17:47:13:093',1,0,1
72,'2016/04/28 17:47:13:109',1,3.48,1
73,'2016/04/28 17:47:13:128',1,5.970874,1
74,'2016/04/28 17:47:13:145',1,0,1
75,'2016/04/28 17:47:13:162',1,5.020531,1
76,'2016/04/28 17:47:13:177',1,0,1
77,'2016/04/28 17:47:13:194',1,4.12969,1
78,'2016/04/28 17:47:13:212',1,0,1
79,'2016/04/28 17:47:13:232',1,0,1
80,'2016/04/28 17:47:13:249',1,4.3234,1
81,'2016/04/28 17:47:13:267',1,1250.873047,1
82,'2016/04/28 17:47:13:283',1,1741.946167,1
83,'2016/04/28 17:47:13:300',1,37.440857,1
84,'2016/04/28 17:47:13:317',1,63.711388,1
85,'2016/04/28 17:47:13:335',1,39.107952,1
86,'2016/04/28 17:47:13:353',1,0,1
87,'2016/04/28 17:47:13:371',1,0,1
88,'2016/04/28 17:47:13:389',1,32.472416,1
89,'2016/04/28 17:47:13:404',1,0,1
90,'2016/04/28 17:47:13:421',1,21.333366,1
91,'2016/04/28 17:47:13:436',1,0,1
92,'2016/04/28 17:47:13:452',1,22.407597,1
93,'2016/04/28 17:47:13:469',1,0,1
94,'2016/04/28 17:47:13:486',1,2225.625977,1
95,'2016/04/28 17:47:13:502',1,39.346268,1
96,'2016/04/28 17:47:13:522',1,0,1
97,'2016/04/28 17:47:13:541',1,0,1
