@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute lDisHandTip numeric
@attribute lDisHandThumb numeric
@attribute lDisTipThumb numeric
@attribute outputs-1 {0,1,2}

@data
8506,'2016/04/30 12:52:36:803',7,0.984722,1.028853,0.046078,1
8507,'2016/04/30 12:52:36:821',7,0.98307,1.031527,0.053553,1
8508,'2016/04/30 12:52:36:837',7,0.98307,1.030641,0.062292,1
8509,'2016/04/30 12:52:36:855',7,0.984147,1.030661,0.061939,1
8510,'2016/04/30 12:52:36:873',7,0.984243,1.030728,0.061939,1
8511,'2016/04/30 12:52:36:888',7,0.98209,1.020233,0.040498,1
8512,'2016/04/30 12:52:36:906',7,0.977619,1.020209,0.045699,1
8513,'2016/04/30 12:52:36:920',7,0.977619,1.007779,0.036764,1
8514,'2016/04/30 12:52:36:938',7,0.974837,1.007999,0.03902,1
8515,'2016/04/30 12:52:36:954',7,0.974837,0.988801,0.01729,1
8516,'2016/04/30 12:52:36:971',7,0.974837,0.988801,0.01729,1
8517,'2016/04/30 12:52:36:991',7,0.977889,1.007274,0.029945,1
8518,'2016/04/30 12:52:37:004',7,0.977964,1.007348,0.029945,1
8519,'2016/04/30 12:52:37:021',7,0.975817,1.007348,0.03228,1
8520,'2016/04/30 12:52:37:040',7,0.975697,0.9873,0.015055,1
8521,'2016/04/30 12:52:37:053',7,0.975697,0.9873,0.015055,1
8522,'2016/04/30 12:52:37:073',7,0.899059,0.957017,0.058489,1
8523,'2016/04/30 12:52:37:087',7,0.995195,1.027957,0.034851,1
8524,'2016/04/30 12:52:37:106',7,0.995195,1.027957,0.034851,1
8525,'2016/04/30 12:52:37:122',7,0.994796,1.02898,0.036884,1
8526,'2016/04/30 12:52:37:139',7,0.994796,1.02898,0.036884,1
8527,'2016/04/30 12:52:37:156',7,0.994631,1.029009,0.036838,1
8528,'2016/04/30 12:52:37:173',7,0.994631,1.024695,0.032784,1
8529,'2016/04/30 12:52:37:188',7,0.994474,1.024531,0.032784,1
8530,'2016/04/30 12:52:37:204',7,0.993653,1.023482,0.03281,1
8531,'2016/04/30 12:52:37:221',7,0.97327,1.027601,0.055736,1
8532,'2016/04/30 12:52:37:236',7,1.004519,1.027797,0.026853,1
8533,'2016/04/30 12:52:37:255',7,1.004519,1.024338,0.024517,1
8534,'2016/04/30 12:52:37:272',7,1.002059,1.024233,0.027251,1
8535,'2016/04/30 12:52:37:290',7,0.895002,0.957912,0.063602,1
8536,'2016/04/30 12:52:37:305',7,0.895002,0.957912,0.063602,1
8537,'2016/04/30 12:52:37:320',7,0.96564,1.021437,0.056898,1
8538,'2016/04/30 12:52:37:337',7,0.965452,1.020831,0.056529,1
8539,'2016/04/30 12:52:37:354',7,0.965413,1.022675,0.05888,1
8540,'2016/04/30 12:52:37:374',7,0.964082,1.01951,0.057344,1
8541,'2016/04/30 12:52:37:388',7,0.964082,1.019498,0.056793,1
8542,'2016/04/30 12:52:37:404',7,0.963446,1.01936,0.057352,1
8543,'2016/04/30 12:52:37:421',7,0.963446,1.019729,0.057726,1
8544,'2016/04/30 12:52:37:438',7,0.99783,1.019363,0.024845,1
8545,'2016/04/30 12:52:37:455',7,0.99783,1.022472,0.030941,1
8546,'2016/04/30 12:52:37:471',7,0.996415,1.020934,0.031845,1
8547,'2016/04/30 12:52:37:489',7,0.996415,1.021782,0.028937,1
8548,'2016/04/30 12:52:37:505',7,0.996415,1.021782,0.028937,1
8549,'2016/04/30 12:52:37:521',7,0.983255,1.020615,0.049778,1
8550,'2016/04/30 12:52:37:537',7,0.983255,1.020615,0.049778,1
8551,'2016/04/30 12:52:37:557',7,0.95797,1.01656,0.060105,1
8552,'2016/04/30 12:52:37:573',7,0.95797,1.01656,0.060105,1
8553,'2016/04/30 12:52:37:589',7,0.995324,1.020541,0.031478,1
8554,'2016/04/30 12:52:37:607',7,0.995324,1.020541,0.031478,1
8555,'2016/04/30 12:52:37:621',7,0.992311,1.020308,0.037944,1
8556,'2016/04/30 12:52:37:637',7,0.983058,1.01606,0.039813,1
8557,'2016/04/30 12:52:37:654',7,0.981076,1.017055,0.045604,1
8558,'2016/04/30 12:52:37:673',7,0.981076,1.017055,0.045604,1
8559,'2016/04/30 12:52:37:688',7,0.980871,1.01711,0.046131,1
8560,'2016/04/30 12:52:37:707',7,0.980871,1.016645,0.045426,1
8561,'2016/04/30 12:52:37:720',7,0.975059,1.016663,0.052362,1
8562,'2016/04/30 12:52:37:739',7,0.975059,0.999666,0.026543,1
8563,'2016/04/30 12:52:37:754',7,0.938772,1.004409,0.066043,1
8564,'2016/04/30 12:52:37:774',7,0.938772,1.007476,0.07049,1
8565,'2016/04/30 12:52:37:788',7,0.977435,1.014989,0.053994,1
8566,'2016/04/30 12:52:37:807',7,0.977435,1.014989,0.053994,1
8567,'2016/04/30 12:52:37:822',7,0.976506,1.006126,0.035644,1
8568,'2016/04/30 12:52:37:839',7,0.976506,1.006126,0.035644,1
8569,'2016/04/30 12:52:37:854',7,0.977359,1.006138,0.034775,1
8570,'2016/04/30 12:52:37:871',7,0.977356,1.013149,0.049499,1
8571,'2016/04/30 12:52:37:887',7,0.975711,1.007394,0.04113,1
8572,'2016/04/30 12:52:37:904',7,0.975711,1.007394,0.04113,1
8573,'2016/04/30 12:52:37:923',7,0.97504,1.00654,0.036792,1
8574,'2016/04/30 12:52:37:939',7,0.97504,1.00654,0.036792,1
8575,'2016/04/30 12:52:37:955',7,0.97504,1.00654,0.036792,1
8576,'2016/04/30 12:52:37:972',7,0.97504,1.00654,0.036792,1
8577,'2016/04/30 12:52:37:989',7,0.975237,1.006559,0.036264,1
8578,'2016/04/30 12:52:38:005',7,0.975866,1.006559,0.035773,1
8579,'2016/04/30 12:52:38:021',7,0.974121,1.006559,0.037064,1
8580,'2016/04/30 12:52:38:038',7,0.974121,1.006559,0.037064,1
8581,'2016/04/30 12:52:38:056',7,0.974121,1.001528,0.030084,1
8582,'2016/04/30 12:52:38:070',7,0.974121,1.001528,0.030084,1
8583,'2016/04/30 12:52:38:087',7,0.974121,1.001528,0.030084,1
8584,'2016/04/30 12:52:38:104',7,0.974121,1.001528,0.030084,1
8585,'2016/04/30 12:52:38:120',7,0.973447,1.001492,0.033225,1
8586,'2016/04/30 12:52:38:140',7,0.973398,1.001434,0.033225,1
8587,'2016/04/30 12:52:38:154',7,0.973398,1.001434,0.033225,1
8588,'2016/04/30 12:52:38:174',7,0.973398,1.001434,0.033225,1
8589,'2016/04/30 12:52:38:188',7,0.973425,0.998895,0.031663,1
8590,'2016/04/30 12:52:38:207',7,0.972184,0.998895,0.032553,1
8591,'2016/04/30 12:52:38:220',7,0.972184,0.998895,0.032553,1
8592,'2016/04/30 12:52:38:237',7,0.976929,1.007346,0.032648,1
8593,'2016/04/30 12:52:38:254',7,0.975814,1.006162,0.032648,1
