@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute hand-speed numeric
@attribute outputs-1 {0,1,2}

@data
4075,'2016/05/02 18:04:25:038',3,54.93269,1
4076,'2016/05/02 18:04:25:055',3,54.610268,1
4077,'2016/05/02 18:04:25:103',3,0.442042,1
4078,'2016/05/02 18:04:25:118',3,0.371393,1
4079,'2016/05/02 18:04:25:154',3,0.356671,1
4080,'2016/05/02 18:04:25:187',3,0.297633,1
4081,'2016/05/02 18:04:25:221',3,0.178809,1
4082,'2016/05/02 18:04:25:254',3,0.257886,1
4083,'2016/05/02 18:04:25:287',3,53.621361,1
4084,'2016/05/02 18:04:25:320',3,0.263978,1
4085,'2016/05/02 18:04:25:354',3,0.358665,1
4086,'2016/05/02 18:04:25:390',3,0.136909,1
4087,'2016/05/02 18:04:25:441',3,0.356183,1
4088,'2016/05/02 18:04:25:474',3,0.372742,1
4089,'2016/05/02 18:04:25:491',3,0.412576,1
4090,'2016/05/02 18:04:25:525',3,0.301462,1
4091,'2016/05/02 18:04:25:575',3,0.285289,1
4092,'2016/05/02 18:04:25:592',3,0.138781,1
4093,'2016/05/02 18:04:25:627',3,0.102227,1
4094,'2016/05/02 18:04:25:659',3,0.210778,1
4095,'2016/05/02 18:04:25:693',3,0.035803,1
4096,'2016/05/02 18:04:25:730',3,0.679777,1
4097,'2016/05/02 18:04:25:765',3,0.542142,1
4098,'2016/05/02 18:04:25:816',3,0.741867,1
4099,'2016/05/02 18:04:25:832',3,1.1631,1
4100,'2016/05/02 18:04:25:871',3,1.69774,1
4101,'2016/05/02 18:04:25:905',3,1.824375,1
4102,'2016/05/02 18:04:25:938',3,1.812441,1
4103,'2016/05/02 18:04:25:971',3,5.318548,1
4104,'2016/05/02 18:04:26:005',3,0.441263,1
4105,'2016/05/02 18:04:26:037',3,16.575085,1
4106,'2016/05/02 18:04:26:070',3,9.891499,1
4107,'2016/05/02 18:04:26:103',3,2.197962,1
4108,'2016/05/02 18:04:26:153',3,4.191885,1
4109,'2016/05/02 18:04:26:171',3,2.003547,1
4110,'2016/05/02 18:04:26:220',3,1.999447,1
4111,'2016/05/02 18:04:26:238',3,10.649602,1
4112,'2016/05/02 18:04:26:270',3,7.201192,1
4113,'2016/05/02 18:04:26:305',3,1.023456,1
4114,'2016/05/02 18:04:26:336',3,0.319606,1
4115,'2016/05/02 18:04:26:370',3,0.740867,1
4116,'2016/05/02 18:04:26:405',3,1.813142,1
4117,'2016/05/02 18:04:26:439',3,1.739304,1
4118,'2016/05/02 18:04:26:471',3,1.763871,1
4119,'2016/05/02 18:04:26:504',3,1.100026,1
4120,'2016/05/02 18:04:26:538',3,1.123512,1
4121,'2016/05/02 18:04:26:571',3,0.920015,1
4122,'2016/05/02 18:04:26:603',3,0.817799,1
